Article Title,Category,Date,URL,Pageviews,Unique Pageviews,Average Time (s),Entrances,Bounce Rate,Exit Rate
Review: Alpha House,Arts & Culture,20130612,/2013/06/12/review-alpha-house/,0,0,0,0,0,0
A System In Rags,World,20130617,/2013/06/17/a-system-in-rags/,2,2,16,1,1.0,0.5
Bike Sharing Expands In the Windy City,Chicago,20130620,/2013/06/20/bike-sharing-expands-in-the-windy-city/,0,0,0,0,0,0
The Serengeti Sell-Off,World,20130622,/2013/06/22/the-serengeti-sell-off/,1,1,0,1,1.0,1.0
Kerry Pushes for Peace,World,20130624,/2013/06/24/kerrys-push-for-peace/,0,0,0,0,0,0
From Palestine to Syria to Palestine again: generations of strife for Palestinian refugees,World,20130701,/2013/07/01/palestinian-refugee-strife/,1,1,0,1,1.0,1.0
Vladimir Zhirinovsky: A Profile,World,20130715,/2013/07/15/vladimir-zhirinovsky-a-profile-in-outrage/,6,6,97,5,1.0,0.8332999999999999
Why we Should Care a Woman Led the Greatest Manhunt in History,Opinions,20130720,/2013/07/20/a-woman-led-the-greatest-manhunt-in-history-why-should-we-care/,2,2,0,1,1.0,1.0
Fracking in California,US,20130720,/2013/07/20/fracking-in-california/,0,0,0,0,0,0
Politically Incorrect Maroon Confessions,Opinions,20130805,/2013/08/05/politically-incorrect-maroon-confessions/,6,6,0,6,0.8332999999999999,1.0
Inside the Debate on Healthcare,US,20130930,/2013/09/30/inside-the-debate-on-healthcare/,1,1,0,0,0.0,1.0
George Packer: Defending the Ordinary,Interviews,20131015,/2013/10/15/interview-george-packer/,5,5,3,3,1.0,0.8
A Way Out of the Debt Ceiling Debacle,US,20131016,/2013/10/16/debt-ceiling-debacle/,0,0,0,0,0,0
Democrat Shutdown Strategy,US,20131018,/2013/10/18/democratic-strategy-during-and-after-the-shutdown/,1,1,10,0,0.0,0.0
Dear Mr. Putin: Can I call you Vlad?,Opinions,20131022,/2013/10/22/dear-mr-putin-can-i-call-you-vlad/,119,103,96,103,0.9126000000000001,0.8571
What Happens to a Dream Deferred?,Opinions,20131022,/2013/10/22/a-dream-deferred/,0,0,0,0,0,0
Wail to the Chief,Opinions,20131022,/2013/10/22/wail-to-the-chief/,1,1,0,1,1.0,1.0
"Move Over, Press Secretary: Pols play with Instagram",Arts & Culture,20131022,/2013/10/22/russian-pols-instagram/,1,1,0,0,0.0,1.0
Outside the Bubble: How foreign media covered the shutdown,World,20131022,/2013/10/22/foreign-media-on-us-shutdown/,0,0,0,0,0,0
Turkey: Reforms of self-interest,World,20131022,/2013/10/22/turkey-reforms-of-self-interest/,2,2,57,0,0.0,0.5
Introducing: Rxeform,Column: Rxeform,20131027,/2013/10/27/introducing-rxeform/,1,1,47,0,0.0,0.0
Introducing: Shatter Zones,Column: Shatter Zones,20131027,/2013/10/27/introducing_shatterzones/,2,2,1718,1,0.0,0.5
Magnitsky: The perils of whistle-blowing in Russia,World,20131028,/2013/10/28/magnitsky-russia/,3,3,161,2,1.0,0.6667000000000001
Republicans Moving in on Illinois Gubernatorial Race,Chicago,20131029,/2013/10/29/republicans-illinois-gubernatorial-race/,0,0,0,0,0,0
Objects in Space: The Gravity of Hollywoods Portrayal of Science,Arts & Culture,20131029,/2013/10/29/gravity-movie-and-science/,4,4,0,4,1.0,1.0
Ed Gillespie: A discussion with a Republican strategist,Interviews,20131030,/2013/10/30/interview-with-ed-gillespie/,7,6,72,3,1.0,0.5714
Is Le Pen Mightier?,World,20131030,/2013/10/30/is-le-pen-mightier/,2,2,29,0,0.0,0.0
Wendy Davis and the Battle for Texas,US,20131031,/2013/10/31/wendy-davis-texas/,4,4,64,3,1.0,0.75
John McCain: A statesman fit for compromise,Interviews,20131101,/2013/11/01/john-mccain-a-statesman-fit-for-compromise/,2,2,13,1,1.0,0.5
From Bread Lines to the Front Lines,World,20131105,/2013/11/05/bread-lines-to-front-lines/,2,2,33,2,0.5,0.5
Migrants Marooned: The Italian immigration crisis deepens,World,20131105,/2013/11/05/migrants-marooned-italian-immigration-crisis/,13,12,2,12,0.9167000000000001,0.9231
Mark Leibovich: A conscious eye on a self-conscious city,Interviews,20131106,/2013/11/06/mark-leibovich-a-conscious-eye-on-a-self-conscious-city/,2,2,87,1,1.0,0.5
Patrolling the Worlds Most Complicated Frontier,Column: Shatter Zones,20131110,/2013/11/10/patrolling-the-worlds-most-complicated-frontier/,5,5,0,5,1.0,1.0
Interview with Farah Al Haddad,World,20131112,/2013/11/12/farah-al-haddad-interview/,2,2,0,2,1.0,1.0
A Big Stuff Moment,Opinions,20131113,/2013/11/13/a-big-stuff-moment/,1,1,0,1,1.0,1.0
The True Meaning of the Shutstorm,US,20131113,/2013/11/13/the-true-meaning-of-the-shutstorm/,0,0,0,0,0,0
The Captain Has the Con: Fact and Fiction in Captain Phillips,Arts & Culture,20131114,/2013/11/14/the-captain-has-the-con-fact-and-fiction-in-captain-phillips/,19,18,132,18,0.9444,0.9473999999999999
Syria and Sectarianism: Spillover Violence in Lebanon,World,20131114,/2013/11/14/syria-and-sectarianism-spillover-violence-in-lebanon/,2,2,71,0,0.0,0.0
Superfood to the Rescue?,World,20131115,/2013/11/15/superfood-to-the-rescue/,25,24,347,23,0.9129999999999999,0.92
Malaysian Court Rules Against Minorities Right to Use Allah,World,20131115,/2013/11/15/malaysian-court-minorities-allah/,1,1,0,1,1.0,1.0
Shutdown 2013: Acts of Self-Interest,Opinions,20131118,/2013/11/18/shutdown-2013-self-interest/,0,0,0,0,0,0
Feinstein Stands by the NSA,US,20131118,/2013/11/18/feinstein-stands-by-the-nsa/,0,0,0,0,0,0
Healthcare Reform: Today and Tomorrow,Column: Rxeform,20131119,/2013/11/19/healthcare-reform-today-and-tomorrow/,2,2,0,0,0.0,1.0
Proposed Bike Registration Sparks Generational Divide,Chicago,20131120,/2013/11/20/proposed-bike-tax-chicago/,1,1,0,1,1.0,1.0
Election Violence in the Philippines,World,20131120,/2013/11/20/election-violence-in-the-philippines/,8,7,465,7,0.8571,0.875
Claire McCaskill: A leading voice on both sides of the aisle,Interviews,20131121,/2013/11/21/claire-mccaskill-a-leading-voice-on-both-sides-of-the-aisle/,0,0,0,0,0,0
"Raise Scores, Then Wages",US,20131121,/2013/11/21/raise-scores-then-wages/,7,7,133,1,1.0,0.7143
Damage-Control Diplomacy: Kerrys Visit to Saudi Arabia,World,20131121,/2013/11/21/damage-control-diplomacy-kerrys-visit-to-saudi-arabia/,72,63,78,62,0.8548,0.8611
Officials Review Response to 2008 Crisis,Chicago,20131122,/2013/11/22/officials-review-response-to-2008-crisis/,1,1,0,0,0.0,1.0
Years in the Making: Is Hollywood ready to talk seriously about slavery?,Arts & Culture,20131122,/2013/11/22/years-in-the-making-is-hollywood-finally-ready-to-talk-seriously-about-slavery/,1,1,0,1,1.0,1.0
Illinois Without Career Politicians?,Chicago,20131125,/2013/11/25/illinois-without-career-politicians/,5,4,93,3,0.6667000000000001,0.6
Crossing Blurred Lines: Did Robin Thicke plagiarize his hit single?,Arts & Culture,20131126,/2013/11/26/thick-blurred-lines-plagiarism/,19,18,5,16,1.0,0.8946999999999999
Suriname and Hezbollah,World,20131128,/2013/11/28/suriname-and-hezbollah/,7,6,21,4,1.0,0.5714
Demarcating Chinas Imaginary Valleys,Column: Shatter Zones,20131128,/2013/11/28/demarcating-chinas-imaginary-valleys/,6,2,21,1,1.0,0.16670000000000001
Nazi-looted Art Finally Uncovered,World,20131129,/2013/11/29/nazi-looted-art-finally-uncovered/,3,3,0,2,1.0,1.0
Violence Continues in Egypt,World,20131129,/2013/11/29/violence-continues-in-egypt/,3,1,25,0,0.0,0.0
Jon Favreau: The voice behind a generational voice,Interviews,20131201,/2013/12/01/jon-favreau-the-voice-behind-a-generational-voice/,23,22,434,18,0.9444,0.8695999999999999
The Unconquered,Column: Rxeform,20131202,/2013/12/02/the-unconquered/,5,5,63,0,0.0,0.4
J.P. Morgan Pays $13 Billion in Fines: Is it enough?,US,20131203,/2013/12/03/jp-morgan-fines/,3,2,97,0,0.0,0.0
"Turkey: One Step Forward, Two Steps Back",World,20131204,/2013/12/04/turkey-one-step-forward-two-steps-back/,0,0,0,0,0,0
Who Are The Indian Mujahideen?,World,20131205,/2013/12/05/who-are-the-indian-mujahideen/,3,3,26,3,0.6667000000000001,0.6667000000000001
Instagram Featuring Dictators,Arts & Culture,20131206,/2013/12/06/instagram-featuring-dictators/,4,2,17,1,1.0,0.25
Race to Mars,US,20131210,/2013/12/10/race-to-mars/,5,5,12,1,1.0,0.4
Race to Mars,World,20131210,/2013/12/10/race-to-mars/,5,5,12,1,1.0,0.4
"The Old, the Young, and the Inter-generational Transfer of Wealth",US,20131213,/2013/12/13/the-old-the-young-and-the-inter-generational-transfer-of-wealth/,15,14,1323,14,0.9286,0.9333
"France, Israel, and the Future of Iranian Nuclear Talks",World,20131215,/2013/12/15/france-israel-and-the-future-of-iranian-nuclear-talks/,3,3,78,1,1.0,0.6667000000000001
Google it?,Opinions,20131217,/2013/12/17/google-it/,25,23,99,17,0.8234999999999999,0.68
Six Blind Reformers and an Elephant,US,20131217,/2013/12/17/six-blind-reformers-and-an-elephant/,1,1,44,0,0.0,0.0
Rohingya Refugees: Trapped between Arakan and a hard place,World,20131220,/2013/12/20/rohingya-refugees-trapped-between-arakan-and-a-hard-place/,4,4,0,4,1.0,1.0
Why Insurance?: Part 1  Health,Column: Rxeform,20140113,/2014/01/13/why-insurance-part-1-health/,0,0,0,0,0,0
Cracks in the Basin  Part 1: Illinois: A National Model?,Chicago,20140116,/2014/01/16/cracks-in-the-basin-part-1-illinois-a-national-model/,47,40,105,18,0.9444,0.617
Coming Soon: UChicago Political Union,Column: UCPU,20140121,/2014/01/21/coming-soon-uchicago-political-union/,4,4,3,1,0.0,0.5
Introducing: Supreme Court Spotlight,Column: Supreme Court Spotlight,20140122,/2014/01/22/introducing-supreme-court-spotlight-2/,2,2,22,1,1.0,0.5
"Cracks in the Basin  Part 2: Big Greens, Little Greens, and a Fractured Opposition",Chicago,20140124,/2014/01/24/cracks-in-the-basin-part-2-big-greens-little-greens-and-a-fractured-opposition/,22,17,100,3,1.0,0.2727
Tommy Vietor: Bridging the gap between the public and the classified,Interviews,20140124,/2014/01/24/tommy-vietor-bridging-the-gap-between-the-public-and-the-classified/,87,84,374,81,0.9506,0.9425
Utah Strikes Back: The next stages in the battle for same-sex marriage,Column: Supreme Court Spotlight,20140124,/2014/01/24/utah-strikes-back-the-next-stages-in-the-battle-for-same-sex-marriage/,2,2,12,0,0.0,0.0
The Flame of Love in Catching Fire,Arts & Culture,20140127,/2014/01/27/the-flame-of-love-in-catching-fire/,6,6,83,6,0.8332999999999999,0.8332999999999999
Why Insurance?: Part 2  Access,Column: Rxeform,20140127,/2014/01/27/why-insurance-part-2-access/,0,0,0,0,0,0
The Year After the Year of the MOOC,US,20140128,/2014/01/28/years-after-mooc/,3,3,0,3,0.3333,1.0
Recess Appointments: Did Obama go too far?,Column: Supreme Court Spotlight,20140130,/2014/01/30/recess-appointments-did-obama-go-too-far/,7,7,0,7,1.0,1.0
Anti-Gay Law in Nigeria,World,20140131,/2014/01/31/anti-gay-law-in-nigeria/,7,6,182,6,0.8332999999999999,0.8571
Panda Diplomacy,World,20140131,/2014/01/31/panda-diplomacy/,13,11,282,8,0.75,0.6923
Taking Safety into Their Own Hands,World,20140201,/2014/02/01/taking-safety-into-their-own-hands/,1,1,5,0,0.0,0.0
State of the State: Governor Quinn unofficially kicks off his campaign,Chicago,20140206,/2014/02/06/illinois-state-of-the-state-governor-quinn-unofficially-kicks-off-his-campaign/,10,10,0,9,1.0,1.0
Cracks in the Basin  Part 3: The Whole County is Fracked,Chicago,20140206,/2014/02/06/cracks-in-the-basin-part-3-the-whole-county-is-fracked/,77,63,141,52,0.7115,0.6494
"So Long, and Thanks for All the Fish: Understanding the ICJ ruling on the Chile-Peru border dispute",Column: Shatter Zones,20140206,/2014/02/06/so-long-and-thanks-for-all-the-fish-understanding-the-icj-ruling-on-the-chile-peru-border-dispute/,14,10,74,7,0.8571,0.5
State of the Union Review,US,20140207,/2014/02/07/state-of-the-union-review/,0,0,0,0,0,0
Mayor Emanuel Gets Schooled,Chicago,20140210,/2014/02/10/mayor-emanuel-gets-schooled/,4,4,0,4,1.0,1.0
Why Insurance?: Part 3  Cost of Care,Column: Rxeform,20140210,/2014/02/10/why-insurance-part-3-cost-of-care/,3,3,39,2,0.0,0.0
UCPU Debate: Humanitarian Intervention,Column: UCPU,20140212,/2014/02/12/ucpu-debate-humanitarian-intervention/,12,11,94,8,0.75,0.6667000000000001
China Invests in Africa,World,20140213,/2014/02/13/china-invests-in-africa/,5,5,628,4,0.5,0.4
"Private Lives, Public Figures: The politics of Frances First Lady",World,20140218,/2014/02/18/private-lives-public-figures-the-politics-of-frances-first-lady/,16,14,40,14,0.8571,0.875
In the Minority: An Interview with Reps Kelly (R-NY) and Davis (D-TN),Interviews,20140219,/2014/02/19/in-the-minority-an-interview-with-representatives-kelly-r-ny-and-davis-d-tn/,4,4,9,1,1.0,0.5
De Blasio Promises Best Plan for Universal Pre-K,Opinions,20140224,/2014/02/24/de-blasio-promises-best-plan-for-universal-pre-k/,5,5,3,1,1.0,0.6
Pop Culture Podcast: Episode 1,Arts & Culture,20140224,/2014/02/24/pop-culture-podcast-episode-1/,4,4,0,2,1.0,1.0
De Blasio Promises Best Plan for Universal Pre-K,US,20140224,/2014/02/24/de-blasio-promises-best-plan-for-universal-pre-k/,5,5,3,1,1.0,0.6
Health Beyond Medicine,Column: Rxeform,20140224,/2014/02/24/health-beyond-medicine/,7,7,61,6,0.6667000000000001,0.7143
Saving More than Kenneth Bae: US foreign policy in North Korea,Opinions,20140225,/2014/02/25/saving-more-than-kenneth-bae-us-foreign-policy-in-north-korea/,8,8,367,5,0.8,0.75
House Republicans Take Vine: Social media and political discourse,US,20140225,/2014/02/25/house-republicans-take-vine-social-media-and-political-discourse/,8,5,63,2,0.5,0.375
Chiraq: An unbalanced portrayal of drill music,Arts & Culture,20140228,/2014/02/28/chiraq-an-unbalanced-portrayal-of-drill-music/,69,67,291,60,0.95,0.9129999999999999
Shelby County v. Holder: A setback for liberal voting rights activists,US,20140228,/2014/02/28/shelby-county-v-holder-a-setback-for-liberal-voting-rights-activists/,11,10,37,6,1.0,0.7273000000000001
Preview: Supreme Court 2013-2014 Term,Column: Supreme Court Spotlight,20140228,/2014/02/28/preview-supreme-court-2013-2014-term/,86,78,293,77,0.8961,0.8837
Vergara v. California v. Students?,US,20140304,/2014/03/04/vergara-v-california-v-students/,6,6,0,6,1.0,1.0
Crisis in Turkey: Arrests reveal the dark sides of former allies,World,20140305,/2014/03/05/crisis-in-turkey-arrests-reveal-the-dark-sides-of-former-allies/,2,2,0,1,1.0,1.0
Putin and Obama Take on Sochi,Column: Cartoons,20140309,/2014/03/09/putin-and-obama-take-on-sochi/,10,10,14,2,1.0,0.5
GOP Forum: Rauners opponents on the offensive,Chicago,20140310,/2014/03/10/gop-forum/,2,1,19,0,0.0,0.5
In Putins Shoes,World,20140310,/2014/03/10/in-putins-shoes/,5,5,187,3,0.6667000000000001,0.4
Fixing the Big Ms,Column: Rxeform,20140310,/2014/03/10/fixing-the-big-ms/,5,5,29,5,0.6,0.6
Where are the Pragmatists? Cantors foreign policy and the Republican response,US,20140317,/2014/03/17/where-are-the-pragmatists-cantors-foreign-policy-and-the-republican-response/,1,1,0,0,0.0,1.0
Vandalizing the Diary of Anne Frank: Shift of sentiment or colossal coincidence?,World,20140317,/2014/03/17/vandalizing-the-diary-of-anne-frank-shift-of-sentiment-or-colossal-coincidence/,10,10,19,5,1.0,0.7
Fighting Words,World,20140317,/2014/03/17/fighting-words/,5,4,146,3,1.0,0.6
Protests in Venezuela: Why now?,World,20140318,/2014/03/18/protests-in-venezuela/,16,16,216,8,0.875,0.6875
A Chicagoan Reviews Chicagoland  Episode 1,Chicago,20140319,/2014/03/19/a-chigoan-reviews-chicagoland-episode-1/,22,17,102,14,0.6429,0.5909
A Chicagoan Reviews Chicagoland  Episode 2,Chicago,20140325,/2014/03/25/a-chicagoan-reviews-chicagoland-episode-2/,53,40,50,37,0.7027,0.7170000000000001
UCPU Debate: Corporate Greed,Column: UCPU,20140328,/2014/03/28/ucpu-debate-corporate-greed/,13,10,270,5,0.6,0.6154
A Chicagoan Reviews Chicagoland  Episode 3,Chicago,20140329,/2014/03/29/a-chicagoan-reviews-chicagoland-episode-3/,14,13,145,11,0.8181999999999999,0.7143
How Will History Remember It?: Legacy of the 2012-2013 Supreme Court term,Column: Supreme Court Spotlight,20140404,/2014/04/04/legacy-of-the-2012-2013-supreme-court/,14,13,41,10,0.9,0.8571
A Chicagoan Reviews Chicagoland  Episode 4,Chicago,20140406,/2014/04/06/a-chicagoan-reviews-chicagoland-episode-4/,12,9,69,7,0.5714,0.5832999999999999
Mandatory Minimums: Cooperation on reform?,US,20140406,/2014/04/06/mandatory-minimums-cooperation-on-reform/,16,11,32,10,0.5,0.625
A Chicagoan Reviews Chicagoland  Episode 5,Chicago,20140407,/2014/04/07/a-chicagoan-reviews-chicagoland-episode-5/,8,5,152,4,0.5,0.5
De Blasios Education Promises,US,20140407,/2014/04/07/de-blasios-education-promises/,18,15,119,8,0.625,0.6111
Two Twenty Four,Column: Rxeform,20140407,/2014/04/07/two-twenty-four/,1,1,0,0,0.0,1.0
Border Diplomacy: Why Afghanistan Supports a Russian Crimea,Column: Shatter Zones,20140407,/2014/04/07/border-diplomacy-why-afghanistan-supports-a-russian-crimea/,24,18,446,13,0.7692,0.7082999999999999
Perspectives,Column: Cartoons,20140413,/2014/04/13/1109/,19,17,32,1,1.0,0.36840000000000006
Riding with Strangers: Regulating ride-sharing in Chicago and Illinois,Chicago,20140414,/2014/04/14/riding-with-strangers-regulating-ride-sharing-in-chicago-and-illinois/,39,34,261,32,0.9062,0.8205
Ana Navarro: A Republican on the rise,Interviews,20140415,/2014/04/15/ana-navarro-rising-republican-adviser-weighs-in-on-women-hispanics-and-the-gop/,13,13,53,4,0.75,0.46149999999999997
Cracks in the Basin  Part 4: Epilogue: Literally divided now,Chicago,20140419,/2014/04/19/epilogue/,147,123,115,64,0.6562,0.5646
A Chicagoan Reviews Chicagoland  Episode 6,Chicago,20140419,/2014/04/19/a-chicagoan-reviews-chicagoland-episode-6/,26,24,197,16,0.875,0.6154
New CEOs Controversial Resignation From Mozilla Corporation,US,20140421,/2014/04/21/new-ceos-controversial-resignation-from-mozilla-corporation/,59,47,68,28,0.7857,0.5424
Closing the Gap,Column: Rxeform,20140421,/2014/04/21/closing-the-gap/,52,47,77,31,0.9031999999999999,0.8077
A New ACA Case: SCOTUS takes on question of religious liberties,Column: Supreme Court Spotlight,20140421,/2014/04/21/a-new-aca-case-scotus-takes-on-question-of-religious-liberties/,26,26,262,18,0.8889,0.6923
No Mans Land,Column: Shatter Zones,20140425,/2014/04/25/no-mans-land/,260,224,166,212,0.7264,0.7154
Deportations and their Role in Immigration Policy,US,20140427,/2014/04/27/deportations-and-their-role-in-immigration-policy/,104,99,168,85,0.8353,0.7787999999999999
Childs Play: The curious problem with Pakistans judicial system,World,20140428,/2014/04/28/childs-play-the-curious-problem-with-pakistans-judicial-system/,53,47,82,26,0.8462000000000001,0.5283
Incentivizing Education: Performance-based compensation for teachers,US,20140429,/2014/04/29/incentivizing-education-performance-based-compensation-for-teachers/,78,66,121,41,0.7561,0.5256000000000001
A Chicagoan Reviews Chicagoland  Episode 7,Chicago,20140501,/2014/05/01/a-chicagoan-reviews-chicagoland-episode-7/,20,19,64,6,0.8332999999999999,0.55
Senators Mark Kirk and Dick Durbin: A rare bipartisan bromance?,Chicago,20140504,/2014/05/04/senators-mark-kirk-and-dick-durbin-a-rare-bipartisan-bromance/,58,53,92,30,0.7,0.5861999999999999
A Chicagoan Reviews Chicagoland  Episode 8,Chicago,20140511,/2014/05/11/a-chicagoan-reviews-chicagoland-episode-8/,7,6,11,2,1.0,0.7143
The Aftermath of an Avalanche,World,20140511,/2014/05/11/1204/,59,51,278,37,0.8378,0.6779999999999999
To Build a Future,Column: Rxeform,20140512,/2014/05/12/to-build-a-future/,74,69,121,57,0.7895,0.7297
State Reps Attack Illinois State Charter School Commission,Chicago,20140514,/2014/05/14/state-reps-attack-illinois-state-charter-school-commission/,14,13,13,12,0.8332999999999999,0.7857
Tackling Affirmative Action: SCOTUS examines Michigans ban,Column: Supreme Court Spotlight,20140514,/2014/05/14/tackling-affirmative-action-scotus-examines-michigans-ban/,3,3,5,0,0.0,0.6667000000000001
Chinese Companies on US Exchanges: Is this time different?,US,20140515,/2014/05/15/chinese-companies-on-us-exchanges-is-this-time-different/,17,16,188,6,1.0,0.5882000000000001
Kasim Reed: Atlantas Decisive Leader,Interviews,20140516,/2014/05/16/kasim-reed-atlantas-decisive-leader/,40,35,186,24,0.9167000000000001,0.725
